SUBURB,BOX-CODE,STR-CODE,AREA,
ARBORETUM UIT 7,,3900,RICHARDS BAY,
ARBORPARK,0850,0850,TZANEEN,
ARCADIA,,6059,PORT ELIZABETH,
ARCADIA,,5201,EAST LONDON,
ARCADIA,,6300,HUMANSDORP,
ARCADIA,0007,0083,PRETORIA,
ARCADIA CENTRE,,7570,KRAAIFONTEIN,
ARCADIA SENTRUM,,7570,KRAAIFONTEIN,
ARCON PARK,1937,1939,VEREENIGING,
ARCON PARK EXT 1,1937,1939,VEREENIGING,
ARCON PARK UIT 1,1937,1939,VEREENIGING,
ARDLEIGH PARK,,7945,RETREAT,
AREA AL,,7785,MITCHELLS PLAIN,
AREA SST,,7784,KHAYELITSHA,
AREEN,,2745,MAHIKENG,
ARENA,,8345,MANKURWANE,
ARENA PARK,,4092,CHATSWORTH,
ARENDSDALE,7353,7353,ATLANTIS,
ARGYLE,,2001,JOHANNESBURG,
ARLINGTON,9602,9602,ARLINGTON,
ARMADALE,2013,2190,JOHANNESBURG,
ARNISTON,7280,,BREDASDORP,
ARNOLDTON,,5247,EAST LONDON,
ARNOT,1051,,MIDDELBURG,
ARNOT COLLIERY,1097,,WITBANK,
ASANDA VILLAGE,,7140,STRAND,
ASANDE,3227,,IMPENDLE,
ASCOT VILLAGE,,7780,LANSDOWNE,
ASHBURNHAM,,8301,KIMBERLEY,
ASHBURTON,3213,3201,PIETERMARITZBURG,
ASHBURY,,6720,MONTAGU,
ASHDOWN,3204,3201,PIETERMARITZBURG,
ASHDOWN MCP,3204,,EDENDALE,
ASHERVILLE,,6281,GRAAFF-REINET,
ASHERVILLE,,4091,DURBAN,
ASHLEA GARDENS,,0081,MENLO PARK,
ASHLEATUINE,,0081,MENLO PARK,
ASHLEY,,3610,PINETOWN,
ASHTON,6715,6715,ROBERTSON,
ASHWOOD,3605,,PINETOWN,
ASIATIC BAZAAR,,0183,PRETORIA WEST,
ASIATIC EXT,1300,1300,BARBERTON,
ASIATIC UIT,1300,1300,BARBERTON,
ASIATIC EXT 1,1300,1300,BARBERTON,
ASIATIC UIT 1,1300,1300,BARBERTON,
ASKEATON,5413,,ASKEATON,
ASKHAM,8814,8814,UPINGTON,
ASKRAAL,6667,,CALITZDORP,
ASLA PARK,,6506,MOSSEL BAY,
ASOKA HEIGHTS,,4200,UMZINTO,
ASOKAHOOGTE,,4200,UMZINTO,
ASPEN HEIGHTS,,6059,PORT ELIZABETH,
ASPEN HOOGTE,,6059,PORT ELIZABETH,
ASPEN HILL EXT 1,,2190,MULBARTON,
ASPEN HILL UIT 1,,2190,MULBARTON,
ASPEN HILLS,2059,2059,JOHANNESBURG,
ASPENHEUWELS,2059,2059,JOHANNESBURG,
ASPEN NATURE ESTATE,2059,2190,JOHANNESBURG,
ASPEN NATUUR LANDGOED,2059,2190,JOHANNESBURG,
ASSAGAY,3624,3610,HILLCREST,
ASSEGAI,3624,3610,HILLCREST,
ASTON BAY,6332,6332,JEFFREYS BAY,
ASTONBAAI,6332,6332,JEFFREYS BAY,
ASTON MANOR,1630,1619,KEMPTON PARK,
ATAMELANG,2732,2732,VRISCHGEWAAGT,
ATHENA GARDENS,,4037,DURBAN,
ATHENATUINE,,4037,DURBAN,
ATHLONE,7760,7764,CAPE TOWN,
